,date,group,visitors
0,2019-08-01,A,719
1,2019-08-02,A,619
2,2019-08-03,A,507
3,2019-08-04,A,717
4,2019-08-05,A,756
5,2019-08-06,A,667
6,2019-08-07,A,644
7,2019-08-08,A,610
8,2019-08-09,A,617
9,2019-08-10,A,406
10,2019-08-11,A,718
11,2019-08-12,A,595
12,2019-08-13,A,748
13,2019-08-14,A,735
14,2019-08-15,A,628
15,2019-08-16,A,361
16,2019-08-17,A,412
17,2019-08-18,A,668
18,2019-08-19,A,502
19,2019-08-20,A,575
20,2019-08-21,A,646
21,2019-08-22,A,609
22,2019-08-23,A,468
23,2019-08-24,A,395
24,2019-08-25,A,621
25,2019-08-26,A,722
26,2019-08-27,A,711
27,2019-08-28,A,594
28,2019-08-29,A,577
29,2019-08-30,A,490
30,2019-08-31,A,699
31,2019-08-01,B,713
32,2019-08-02,B,581
33,2019-08-03,B,509
34,2019-08-04,B,770
35,2019-08-05,B,707
36,2019-08-06,B,655
37,2019-08-07,B,709
38,2019-08-08,B,654
39,2019-08-09,B,610
40,2019-08-10,B,369
41,2019-08-11,B,721
42,2019-08-12,B,543
43,2019-08-13,B,769
44,2019-08-14,B,746
45,2019-08-15,B,544
46,2019-08-16,B,413
47,2019-08-17,B,421
48,2019-08-18,B,737
49,2019-08-19,B,487
50,2019-08-20,B,560
51,2019-08-21,B,656
52,2019-08-22,B,650
53,2019-08-23,B,546
54,2019-08-24,B,378
55,2019-08-25,B,679
56,2019-08-26,B,676
57,2019-08-27,B,720
58,2019-08-28,B,654
59,2019-08-29,B,531
60,2019-08-30,B,490
61,2019-08-31,B,718
